varietats,pais_origen,regions_utilitzen,regions_noms,tonalitats_1,tonalitats_2,tonalitats_3,tonalitats_4,tonalitats_5
Trebbiano ,Italia,3,"Lombardy, Tuscany (Toscana), Veneto",Citrus, Floral, Herbal,,
Vernaccia,Italia,3,"Marche, Sardinia (Sardegna), Tuscany (Toscana)",Floral, Citrus, Mineral,,
Albana,Italia,2,"Emilia-Romagna, Marche",Floral, Fruity, Spicy,,
Bacchus,Alemanya,2,"Franken (Franconia), Saale-Unstrut",Floral, Fruity, Spicy,,
Bical,Portugal,2,"Dão and Lafões, Bairrada",Citrus, Floral, Herbal,,
Bual,Portugal,2,"Távora and Varosa, Madeira",Citrus, Herbal, Mineral,,
Cercial,Portugal,2,"Dão and Lafões, Bairrada",Citrus, Floral, Herbal,,
Clairette,France,2,"Châteauneuf-du-Pape, Côtes de Provence",Floral, Citrus, Herbal,,
Cserszegi fűszeres,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Doradilla,Espanya,2,"Malaga, Sierras de Málaga",Floral, Citrus, Herbal,,
Elbling,Alemanya,2,"Mosel, Sachsen (Saxony)",Citrus, Floral, Herbal,,
Ezerjó,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Falanghina,Italia,2,"Campania, Molise",Floral, Citrus, Mineral,,
Fetească Regală,Romania,2,"Transilvania (Transylvania), Moldavia",Floral, Fruity, Spicy,,
Forastera Blanca,Espanya,2,"La Gomera, Orotava Valley",Floral, Citrus, Herbal,,
Gros Manseng,France,2,"Jurançon, Comté-Tolosan",Citrus, Floral, Herbal,,
Hárslevelű,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Irsai Olivér,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Juhfark,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Királylányka,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Lairen,Espanya,2,"Malaga, Sierras de Málaga",Floral, Citrus, Herbal,,
Malvasia Castellana,Espanya,2,"Arribes, Toro",Floral, Citrus, Herbal,,
MalvasiaFina,Portugal,2,"Távora and Varosa, Algarve",Floral, Citrus, Herbal,,
MalvasiaIstriana,Croacia,2,"Friuli-Venezia-Giulia, Hrvatska Istra (Istria)",Floral, Citrus, Herbal,,
Maraština,Croacia,2,"Sjeverna Dalmacija (North Dalmatia), Srednja i Južna Dalmacija (Central and South Dalmatia)",Floral, Citrus, Herbal,,
Moscatell Ottonel,France,2,"Balatoni Borrégió, Vale do São Francisco",Muscat, Floral, Honeyed,,
Moscatell de Grano Menudo,Espanya,2,"Navarra, Toro",Muscat, Floral, Honeyed,,
MoscatellBianco,Italia,2,"Piedmont, Aosta Valley (Valle d'Aosta)",Muscat, Floral, Honeyed,,
Muscadelle,France,2,"Sauternes, California",Floral, Citrus, Herbal,,
Muscat Lunel,France,2,"Balatoni Borrégió, Duna Borrégió",Muscat, Floral, Honeyed,,
Obeideh,Liban,2,"Batroun, Jezzine",Floral, Citrus, Herbal,,
Pamid,Bulgaria,2,"Thracian Valley, Danubian Plain",Floral, Fruity, Spicy,,
Pecorino,Italia,2,"Abruzzo, Marche",Floral, Citrus, Herbal,,
Petit Manseng,France,2,"Jurançon, Canelones",Citrus, Floral, Herbal,,
Pinot Noir,France,2,"Sierras de Málaga, Somontano",Cherry, Earthy, Spicy,,
Pošip,Croacia,2,"Sjeverna Dalmacija (North Dalmatia), Srednja i Južna Dalmacija (Central and South Dalmatia)",Floral, Citrus, Herbal,,
Prensal Blanc,Espanya,2,"Binissalem-Mallorca, Pla de Llevant",Floral, Citrus, Herbal,,
Rheinriesling,Alemanya,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Riesling Sylvaner,Alemanya,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Romé,Italia,2,"Malaga, Sierras de Málaga",Floral, Citrus, Herbal,,
Siria,Portugal,2,"Beira Interior, Algarve",Floral, Citrus, Herbal,,
Szürkebarát,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Sárfehér,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Tămâioasă Românească,Romania,2,"Valaquia (Wallachia), Moldavia",Muscat, Floral, Honeyed,,
Zöld veltelini,Hungria,2,"Balatoni Borrégió, Duna Borrégió",Floral, Fruity, Spicy,,
Albarola,,1,Liguria,,,,,
Albarín Blanco,,1,Tierra de León,,,,,
Alcañón,,1,Somontano,,,,,
Antão Vaz,,1,Alentejo,,,,,
Arneis,,1,Piedmont,,,,,
Azal ,,1,Vinho Verde,,,,,
Beba de Los Santos,,1,Ribera del Guadiana,,,,,
Bekari,,1,Epiro (Epirus),,,,,
Bellone Bianco,,1,Lazio,,,,,
Biancame,,1,Marche,,,,,
Bianchetta Genovese ,,1,Liguria,,,,,
Blütenmuskateller,,1,Lower Austria,,,,,
Bombino Bianco,,1,Lazio,,,,,
Cabernet Franc,,1,Sierras de Málaga,,,,,
Carricante ,,1,Sicily (Sicilia),,,,,
Cataratto,,1,Sicily (Sicilia),,,,,
Cayetana Blanca,,1,Ribera del Guadiana,,,,,
Chelva,,1,Ribera del Guadiana,,,,,
Ciro Bianco ,,1,Calabria,,,,,
Coda di Volpe ,,1,Campania,,,,,
Cortese,,1,Piedmont,,,,,
Dafni,,1,Creta (Crete),,,,,
Debina,,1,Epiro (Epirus),,,,,
Debit,,1,Sjeverna Dalmacija (North Dalmatia),,,,,
Dubrovnik Malvasia,,1,Srednja i Južna Dalmacija (Central and South Dalmatia),,,,,
Encruzado,,1,Dão and Lafões,,,,,
Erbaluce,,1,Piedmont,,,,,
Eva,,1,Ribera del Guadiana,,,,,
Fonte Cal,,1,Beira Interior,,,,,
Friulano,,1,Friuli-Venezia-Giulia,,,,,
Frontenac Blanc,,1,Quebec,,,,,
Frâncușă,,1,Moldavia,,,,,
Garganega,,1,Veneto,,,,,
Glera,,1,Veneto,,,,,
Goldriesling,,1,Sachsen (Saxony),,,,,
Graciano,,1,Sierras de Málaga,,,,,
Grasă de Cotnari,,1,Moldavia,,,,,
Grechetto ,,1,Umbria,,,,,
Greco Bianco,,1,Calabria,,,,,
Grillo,,1,Sicily (Sicilia),,,,,
Grk,,1,Srednja i Južna Dalmacija (Central and South Dalmatia),,,,,
Gutedel,,1,Baden,,,,,
Inzolia,,1,Sicily (Sicilia),,,,,
Jubiläumsrebe,,1,Lower Austria,,,,,
Kujundžuša,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
L'Acadie Blanc,,1,Nova Scotia,,,,,
Lagorthi,,1,Peloponeso (Peloponnese),,,,,
Maceratino ,,1,Marche,,,,,
Malbec,,1,Sierras de Málaga,,,,,
Malvasia Bianca di Basilicata,,1,Basilicata,,,,,
Malvasia Blanco,,1,Güimar Valley,,,,,
Malvasia Volcánica,,1,Lanzarote,,,,,
MalvasiaPuntinata,,1,Lazio,,,,,
Malvasiadel Chianti,,1,Tuscany (Toscana),,,,,
Malvasiadi Candia,,1,Lazio,,,,,
Malvazia di Candia,,1,Creta (Crete),,,,,
Mandilaria,,1,Egeo Meridional (South Aegean),,,,,
Mantonico Bianco,,1,Calabria,,,,,
Marmajuelo,,1,Abona,,,,,
Mauzac,,1,Limoux,,,,,
Medna,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
Meksassi,,1,Jezzine,,,,,
Melnik,,1,Struma Valley,,,,,
Melon de Bourgogne,,1,Val de Loire,,,,,
Merwah,,1,Jezzine,,,,,
Merweh,,1,Batroun,,,,,
Monastrell,,1,Sierras de Málaga,,,,,
Monemvassia,,1,Egeo Meridional (South Aegean),,,,,
Montonico ,,1,Abruzzo,,,,,
Morillon,,1,Styria,,,,,
Moristel,,1,Somontano,,,,,
Moscatel de Setúbal,,1,Península de Setúbal,,,,,
Moscatell Blanc,,1,Vale do São Francisco,,,,,
MoscatellCanelli,,1,Vale do São Francisco,,,,,
Moschofilero,,1,Peloponeso (Peloponnese),,,,,
Muscat de Alexandria,,1,Coahuila,,,,,
Muscat of Alexandria,,1,Valle del Itata,,,,,
Muscat of Spina,,1,Creta (Crete),,,,,
Nascetta ,,1,Piedmont,,,,,
New York Muscat,,1,Nova Scotia,,,,,
Nuragus,,1,Sardinia (Sardegna),,,,,
Olasz rizling,,1,Balatoni Borrégió,,,,,
Pardina,,1,Ribera del Guadiana,,,,,
Parraleta,,1,Somontano,,,,,
Passerina,,1,Marche,,,,,
Pedro Giménez,,1,Catamarca,,,,,
Petit Arvine ,,1,Aosta Valley (Valle d'Aosta),,,,,
Petit Verdot,,1,Sierras de Málaga,,,,,
Picolit,,1,Friuli-Venezia-Giulia,,,,,
Pigato,,1,Liguria,,,,,
Pignoletto,,1,Emilia-Romagna,,,,,
Plyto,,1,Creta (Crete),,,,,
Prié Blanc,,1,Aosta Valley (Valle d'Aosta),,,,,
Puesta en Cruz,,1,Arribes,,,,,
Rabo de Ovelha,,1,Alentejo,,,,,
Red Misket,,1,Rose Valley,,,,,
Ribolla Gialla,,1,Friuli-Venezia-Giulia,,,,,
Riesling Italico,,1,Trentino-Alto-Adige,,,,,
Robola,,1,Islas Jónicas (Ionian Islands),,,,,
Roter Veltliner,,1,Lower Austria,,,,,
Roupeiro,,1,Alentejo,,,,,
Ruländer,,1,Ahr,,,,,
Sansigot,,1,Hrvatsko Primorje (Primorje),,,,,
Sauvignon Gris,,1,California,,,,,
Savatiano,,1,Grecia Central (Central Grecia),,,,,
Seara Nova,,1,Lisboa,,,,,
Semidano,,1,Sardinia (Sardegna),,,,,
Sercialinho,,1,Bairrada,,,,,
St. Pepin,,1,Quebec,,,,,
Tempranillo Blanco,,1,Rioja,,,,,
Terrantez,,1,Açores,,,,,
Thrapsathiri,,1,Creta (Crete),,,,,
Tintilla,,1,Sierras de Málaga,,,,,
Torbato,,1,Sardinia (Sardegna),,,,,
Trajadura,,1,Vinho Verde,,,,,
Trebbiano di Lugana,,1,Lombardy,,,,,
Trebbiano di Soave,,1,Veneto,,,,,
Tsaoussi,,1,Islas Jónicas (Ionian Islands),,,,,
Verijadiego Blanco,,1,El Hierro,,,,,
Vernaccia di Oristano,,1,Sardinia (Sardegna),,,,,
Vernaccia di San Gimignano,,1,Tuscany (Toscana),,,,,
Vespaiola ,,1,Veneto,,,,,
Vidiano,,1,Creta (Crete),,,,,
Vijariego,,1,Tacoronte-Acentejo,,,,,
Vilana,,1,Creta (Crete),,,,,
Vital,,1,Lisboa,,,,,
Vitovska ,,1,Friuli-Venezia-Giulia,,,,,
Vlahiko,,1,Epiro (Epirus),,,,,
Vugava,,1,Srednja i Južna Dalmacija (Central and South Dalmatia),,,,,
Zalema,,1,Condado de Huelva,,,,,
Zibibbo,,1,Sicily (Sicilia),,,,,
Zlatarica,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
Škrlet,,1,Moslavina,,,,,
Žilavka,,1,Dalmatinska Zagora (Dalmatian Hinterland),,,,,
Žlahtina,,1,Hrvatsko Primorje (Primorje),,,,,
Broad-Leaf Melnik (Shiroka Melnishka Loza),,0,,,,,,
Subirat Parent (Malvasia),,0,,,,,,
